ticket_id,customer_id,date_created,category,subcategory,priority,issue_description,resolution,resolution_time_hours,customer_satisfaction,agent_id
JIO-T1001,CUST-7834,2025-01-05,Billing,Bill Discrepancy,Medium,"My January bill shows charges for services I didn't subscribe to. There's an additional ₹499 charge labeled as 'Premium Entertainment Pack'","Upon verification, we found this was incorrectly added to your account during a system upgrade. The charge has been reversed and will reflect in your next bill. A one-time courtesy credit of ₹50 has been added to your account for the inconvenience.",2.3,4,AG-103
JIO-T1002,CUST-2356,2025-01-06,Network,Call Drops,High,"I'm experiencing frequent call drops in the Andheri East area for the past 3 days, especially during evening hours","Our network team confirmed temporary maintenance work in your area which is now complete. The signal strength should return to normal within 2 hours. Please restart your device if issues persist. For future reference, you can check network status in your area through the MyJio app.",1.5,3,AG-157
JIO-T1003,CUST-9023,2025-01-07,Data Services,Slow Internet,High,"My 4G speed has dropped drastically since yesterday. I'm only getting about 1 Mbps when I usually get 15+ Mbps","We identified that you've consumed your high-speed data quota of 2GB/day. Your speed is now reduced to 64 Kbps as per plan policy. Your data will reset at midnight. To continue with high-speed data, you can purchase one of our data add-on packs from the MyJio app.",0.7,4,AG-122
JIO-T1004,CUST-1276,2025-01-07,Account,SIM Activation,High,"I purchased a new Jio SIM yesterday but it's still not activated despite completing the KYC process","Your KYC verification was successful, but there was a delay in activation due to a system backlog. We've prioritized your activation and your SIM will be functional within the next 30 minutes. You'll receive an SMS confirmation. We apologize for the inconvenience.",1.2,4,AG-145
JIO-T1005,CUST-6390,2025-01-08,Roaming,International Usage,Medium,"I'm traveling to Singapore next week. Can I use my current Jio plan there?","Yes, you can use your mobile plan while traveling abroad, subject to roaming charges and international rates depending on your destination. For Singapore, we recommend activating our 'Asia Traveler Pack' for ₹1199 which gives you 5GB data, 100 minutes of calls, and 100 SMS valid for 10 days. You can activate this through the MyJio app 24 hours before departure.",0.8,5,AG-119
JIO-T1006,CUST-4578,2025-01-09,Technical,Mobile App Issues,Low,"The MyJio app keeps crashing whenever I try to check my data usage","This appears to be a compatibility issue with your device's operating system. Please update both your phone's OS and the MyJio app to the latest version. After updating, clear the app cache by going to Settings > Apps > MyJio > Storage > Clear Cache. If the issue persists, try uninstalling and reinstalling the app.",1.1,4,AG-131
JIO-T1007,CUST-3214,2025-01-10,Billing,Payment Failure,Medium,"I tried to pay my bill online but the transaction failed. However, the amount was deducted from my bank account","We've escalated this to our payment gateway team. Your payment is showing as 'pending' in our system. Typically, failed transactions are automatically reversed within 5-7 business days by your bank. We've made a note of this attempt on your account and no late fees will be charged while this resolves. We'll notify you once we receive confirmation from the payment team.",3.5,3,AG-126
JIO-T1008,CUST-5482,2025-01-11,Network,No Signal,High,"I have no network coverage at my home in Powai since this morning","Our diagnostics show a temporary tower outage in your area due to electrical maintenance. Our technical team is on-site and estimates resolution by 5 PM today. In the meantime, please use Wi-Fi calling feature if available on your device. We'll send you an SMS once service is restored.",2.0,4,AG-138
JIO-T1009,CUST-8761,2025-01-12,Data Services,Content Access,Low,"I subscribed to JioCinema but am unable to access premium content","Our records show your JioCinema premium subscription activation is pending. This happens when the payment is processed but the service activation has a delay. We've manually activated your premium access now. Please force close the app and reopen it to see the changes. Your subscription is confirmed for 30 days starting today.",1.3,5,AG-112
JIO-T1010,CUST-2145,2025-01-13,Account,Number Portability,High,"I submitted a request to port my number from Airtel to Jio 5 days ago but haven't received any updates","We've checked your port request (UPC: 9876543210) and found it was delayed due to an outstanding balance with your current provider. According to MNP regulations, all dues must be cleared before porting. Please settle your Airtel bill and inform us. We'll expedite your request once this is resolved.",1.7,3,AG-151
JIO-T1011,CUST-6723,2025-01-14,Billing,Plan Upgrade,Medium,"I want to upgrade from my current plan (₹199) to a higher data plan","Based on your usage pattern, we recommend our ₹399 plan which offers 1.5GB/day (vs your current 1GB/day), unlimited calls, and 100 SMS/day with the same 28-day validity. You can upgrade immediately through MyJio app. Since you're mid-cycle, you'll only pay the prorated difference and your benefits will be upgraded immediately while maintaining your current validity period.",0.6,5,AG-127
JIO-T1012,CUST-9345,2025-01-15,Technical,VoLTE Issues,Medium,"My phone shows 4G signal but calls are failing with a message 'VoLTE unavailable'","This typically happens when the VoLTE settings need reconfiguration. Please go to Settings > Mobile Networks > Enable VoLTE. If that option is already enabled, try these steps: 1) Restart your phone, 2) Check for carrier settings updates, 3) Reset network settings. If these don't work, your device may need a software update or might not fully support VoLTE on our network.",2.5,4,AG-141
JIO-T1013,CUST-1589,2025-01-16,Roaming,Domestic Usage,Low,"I'm traveling to Kerala next week. Will my Maharashtra Jio plan work there without additional charges?","Yes, your plan will work seamlessly across India with no additional roaming charges. All Jio plans offer free national roaming, so you can make/receive calls and use data in Kerala exactly as you do in Maharashtra. No action is required from your end before traveling.",0.5,5,AG-115
JIO-T1014,CUST-4231,2025-01-17,Data Services,JioFiber Installation,High,"I paid for JioFiber installation a week ago but no technician has visited yet","We apologize for this delay. Your installation request (ID: JF-98765) was queued but not assigned to a technician due to a scheduling error. We've prioritized your request and scheduled a technician visit for tomorrow between 2-5 PM. You'll receive a confirmation call in the morning. As a goodwill gesture, we're offering your first month's subscription at 50% off.",4.0,3,AG-133
JIO-T1015,CUST-7856,2025-01-18,Account,Family Plan Management,Medium,"How do I add my son's number to my family plan?","You can add up to 5 family members to your JioTogether Family Plan. To add your son's number: 1) Open MyJio app, 2) Go to 'Manage Family Plan' section, 3) Select 'Add Member', 4) Enter his Jio number and validate with OTP. The added number will share benefits from the main account while maintaining separate usage tracking. Changes will be effective from your next billing cycle.",0.9,5,AG-120
JIO-T1016,CUST-3567,2025-01-19,Network,Specific Service Outage,Medium,"I can't use WhatsApp even though my internet is working for other applications","This is likely due to a configuration issue with your APN settings or temporary restrictions on specific ports. Try these steps: 1) Go to Settings > Mobile Networks > Access Point Names, 2) Select your Jio APN, 3) Ensure the configuration matches our recommended settings (available on Jio website). Also, check if you have any active data restrictions for specific apps in your MyJio account settings.",1.8,4,AG-144
JIO-T1017,CUST-5901,2025-01-20,Billing,Auto-debit Failure,High,"My service was suspended today due to bill payment failure, but I have auto-debit set up","We found that your auto-debit mandate expired last month as it completed the maximum number of transactions set during registration (typically 12 months). We've temporarily restored your services. To prevent future interruptions, please set up a new auto-debit instruction through the MyJio app or our website. Your current bill can be paid manually this time, and the new auto-debit will apply from next month.",1.4,4,AG-129
JIO-T1018,CUST-8342,2025-01-21,Technical,Device Compatibility,Low,"I just bought a new smartphone from the US. Will it work with my Jio SIM?","Most unlocked international smartphones will work with Jio, but compatibility depends on the bands supported by your device. Please share your exact model name and we can confirm specific compatibility. Generally, you'll need a phone that supports LTE bands 3, 5, and 40 for optimal Jio network connectivity. Also ensure your phone is carrier-unlocked and supports VoLTE for voice calls on our network.",2.1,4,AG-136
JIO-T1019,CUST-2789,2025-01-22,Account,Lost SIM,High,"I lost my phone with my Jio SIM card. How do I prevent misuse?","We've immediately suspended your SIM to prevent unauthorized usage. To get a replacement SIM with the same number: 1) Visit any Jio Store with your ID proof, 2) Fill out the SIM replacement form, 3) Complete the biometric verification. A new SIM will be issued and activated within 4 hours. There's a ₹100 replacement fee. For security, we recommend changing your JioID password and MyJio app PIN.",0.7,5,AG-123
JIO-T1020,CUST-6134,2025-01-23,Data Services,Hotspot Issues,Medium,"I can't use my phone as a hotspot even though I have sufficient data balance","Hotspot functionality is included in all Jio plans with your regular data quota. The issue could be with your phone settings. Please check: 1) Settings > Network & Internet > Hotspot & Tethering is enabled, 2) Your device isn't in battery saver mode which sometimes restricts hotspot, 3) You haven't reached any device-specific limitations for connected devices. Some phone manufacturers limit the number of concurrent connections.",1.6,4,AG-147
JIO-T1021,CUST-9678,2025-01-24,Billing,Subscription Cancellation,Medium,"I want to cancel my JioSaavn Pro subscription but can't find the option in the app","To cancel your JioSaavn Pro subscription: 1) Log in to the MyJio app, 2) Go to 'My Subscriptions' section, 3) Select JioSaavn Pro, 4) Tap on 'Cancel Subscription'. Your subscription will remain active until the end of your current billing cycle. If you still have issues canceling, we can process this for you right now. Please confirm if you'd like us to proceed with cancellation on your behalf.",1.0,5,AG-111
JIO-T1022,CUST-1432,2025-01-25,Network,5G Availability,Low,"When will 5G services be available in Pune? I have a 5G-compatible phone","Jio 5G services are currently being rolled out in Pune in a phased manner. According to our deployment schedule, your area (noted from your account details) is scheduled for coverage by February 15th. Once available, you'll receive an SMS notification. To prepare, ensure your phone has the latest software update and that 5G is enabled in your network settings. No plan upgrade is required as 5G is available at 4G rates during the welcome offer period.",0.8,4,AG-139
JIO-T1023,CUST-4865,2025-01-26,Technical,SIM Card Issues,High,"My SIM card suddenly shows 'No Service' on my phone even though I've paid all bills","Based on our diagnostics, this appears to be a physical SIM card issue rather than an account or network problem. SIM cards occasionally fail due to physical damage or aging. Since your account is in good standing, we can issue a replacement SIM at no cost. Please visit your nearest Jio Store with your ID proof for an immediate replacement. The transfer should be complete within 2 hours of activation.",1.9,4,AG-125
JIO-T1024,CUST-7391,2025-01-27,Account,Address Update,Low,"I've moved to a new address and need to update my billing information","Your billing address has been updated successfully. This change will reflect in your next bill. Please note that for any physical communications or for JioFiber service installations, this new address will be used. If you also need to update your KYC address (which differs from billing address), please visit a Jio Store with address proof documents.",0.6,5,AG-118
JIO-T1025,CUST-3023,2025-01-28,Roaming,International Calling,Medium,"I need to make urgent calls to Canada but getting an error","International calling to Canada is not activated on your account by default due to security protocols. We've now enabled international calling for your number. Please wait 15 minutes for the changes to take effect, then you can dial +1 followed by the Canadian number. Our current rate for Canada is ₹1.20/second. For frequent international calling, we recommend our 'Global Calling Pack' which offers reduced rates.",1.2,5,AG-142
JIO-T1026,CUST-5756,2025-01-29,Data Services,Content Restrictions,Medium,"I'm unable to access certain websites on my Jio connection that work fine on my office Wi-Fi","Some websites might be restricted as per government regulations or our content policy. However, without knowing specific websites, we can't confirm if this is a regulatory restriction or a technical issue. If you could share example URLs via direct message, we can investigate further. Alternatively, check if your phone has any active VPN or proxy settings that might be causing this difference in access between networks.",2.2,3,AG-130
