ticket_id,customer_id,date_created,category,subcategory,priority,issue_description,resolution,resolution_time_hours,customer_satisfaction,agent_id
38166489-e142-47ec-b6dc-51ccaaa4d08b,101,2025-05-23 11:01:19,Account,Security Alert,Low,billing is too high for an unknown reason could you check that and get back asap,"Based on our diagnostics, this appears to be a physical SIM card issue rather than an account or network problem. SIM cards occasionally fail due to physical damage or aging. Since your account is in good standing, we can issue a replacement SIM at no cost. Please visit your nearest Jio Store with your ID proof for an immediate replacement. The transfer should be complete within 2 hours of activation.",0,1,AUTO
91f85fba-42f7-4e78-825e-f5dd745879cb,101,2025-05-23 11:01:19,Account,Security Alert,Low,billing is too high for an unknown reason could you check that and get back asap,"Based on our diagnostics, this appears to be a physical SIM card issue rather than an account or network problem. SIM cards occasionally fail due to physical damage or aging. Since your account is in good standing, we can issue a replacement SIM at no cost. Please visit your nearest Jio Store with your ID proof for an immediate replacement. The transfer should be complete within 2 hours of activation.",0,1,AUTO
7d325b20-5e7c-4264-8262-f77713446a5e,90,2025-05-23 11:48:11,Account,Premium Number,Low,the billing amount was too high get back as soon as possible,"We've investigated this charge and found an error in our communication process. While you did select a premium pattern number (ending with 9999), our representative failed to clearly inform you about the associated one-time charge of ₹3000. Due to this communication gap and as per our service commitment policy, we've processed a complete refund of the premium number charge back to your original payment method. The refund will reflect in 5-7 business days. You can keep the premium number at no cost. We've also addressed this training gap with our team to ensure transparent communication about all charges during the sign-up process.",0,4,AUTO
489677e8-5f8a-461d-bb63-02bfd752727a,101,2025-05-23 12:07:00,Billing,Auto-Debit,Low,I want to set up automatic payment for my monthly bill from my bank account,"We've set up auto-debit for your monthly Jio bill from your HDFC Bank account ending in ****7843 as requested. The auto-debit will trigger 3 days before your bill due date (currently the 9th of each month). Features activated: 1) SMS alert 24 hours before debit, 2) Email receipt upon successful payment, 3) One-click cancellation through MyJio app if needed, and 4) Auto-retry in case of initial failure. Your first automatic payment will process on June 6th for your upcoming bill. You've also qualified for our 'Digital Payment Reward' program, which provides a monthly reward of 2GB additional data for using automatic payment methods. We recommend keeping a minimum balance of Rs.1000 in your linked account around your payment date to avoid any transaction failures.",0,5,AUTO
39c0bb88-e2e5-40d2-9a06-e3a008d862b5,CUST1001,2025-05-23 12:23:49,Data Services,Home Security Integration,Low,I can't connect to the office WiFi network. My laptop shows connected but no internet access.,"Some websites might be restricted as per government regulations or our content policy. However, without knowing specific websites, we can't confirm if this is a regulatory restriction or a technical issue. If you could share example URLs via direct message, we can investigate further. Alternatively, check if your phone has any active VPN or proxy settings that might be causing this difference in access between networks.",0,5,AUTO
f6045f2d-8e00-4a1a-b42a-3b00b803b715,CUST1002,2025-05-23 12:26:39,Network,Hidden Number,Low,"The accounting software crashes when generating quarterly reports. Error message says ""Memory overflow in module AR_Reports.dll"". This happens consistently with files larger than 50MB.","This appears to be a compatibility issue with your device's operating system. Please update both your phone's OS and the MyJio app to the latest version. After updating, clear the app cache by going to Settings > Apps > MyJio > Storage > Clear Cache. If the issue persists, try uninstalling and reinstalling the app.",0,4,AUTO
9f64e78e-2685-4cbf-8554-883e4ae7b00b,CUST1003,2025-05-23 12:28:21,Account,Corporate to Individual,Low,I forgot my email password and need to reset it. My username is jsmith@company.com.,We've updated your email from old@example.com to new@example.com in our system. You'll receive a confirmation at your new email address shortly. Please verify by clicking the link in that email within 24 hours to complete this change. All future communications including bills and offers will be sent to your new email. Your MyJio app login credentials remain unchanged.,0,3,AUTO
0cf9b631-09c4-4507-b77b-cb91014dd686,CUST1004,2025-05-23 12:29:54,Technical,eSIM Issues,Low,My docking station stopped working. No lights come on when I plug it in. I've tried different power cables and USB-C ports.,"The iPhone 16 Pro fully supports Jio 5G, but requires the latest carrier settings. Please follow these steps: 1) Ensure iOS is updated to the latest version, 2) Go to Settings > General > About and wait for the carrier settings update prompt (should appear within 30 seconds), 3) If no prompt appears, go to Settings > Cellular > Cellular Data Options and ensure 5G is set to 'Auto' not 'LTE'. We've also refreshed your network profile from our end. Please restart your phone for changes to take effect.",0,4,AUTO
741193a1-5574-4279-a2b3-89334ef39515,CUST_TEST,2025-05-23 12:32:49,Technical,SIM Card Issues,High,My Dell WD19 docking station isn't powering on. No lights appear when connected to my laptop. I've tried different power cables and USB-C ports on my laptop.,"The iPhone 16 Pro fully supports Jio 5G, but requires the latest carrier settings. Please follow these steps: 1) Ensure iOS is updated to the latest version, 2) Go to Settings > General > About and wait for the carrier settings update prompt (should appear within 30 seconds), 3) If no prompt appears, go to Settings > Cellular > Cellular Data Options and ensure 5G is set to 'Auto' not 'LTE'. We've also refreshed your network profile from our end. Please restart your phone for changes to take effect.",0,3,AUTO
52a0ca01-f731-458c-a13c-02091389b7aa,CUST_TEST,2025-05-23 12:36:18,Technical,SIM Card Issues,High,My Dell WD19 docking station isn't powering on. No lights appear when connected to my laptop. I've tried different power cables and USB-C ports on my laptop.,"The iPhone 16 Pro fully supports Jio 5G, but requires the latest carrier settings. Please follow these steps: 1) Ensure iOS is updated to the latest version, 2) Go to Settings > General > About and wait for the carrier settings update prompt (should appear within 30 seconds), 3) If no prompt appears, go to Settings > Cellular > Cellular Data Options and ensure 5G is set to 'Auto' not 'LTE'. We've also refreshed your network profile from our end. Please restart your phone for changes to take effect.",0,3,AUTO
